id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
1,1.3939699,1.4152854,0.20096297,-0.23937899,-0.0099719707,25,0,15207.803,6.8514905,-2.0894626
2,2450.5218,30.714391,0.70724377,0.16200985,-0.81963308,25,0,3545.064,1.0504124,-0.053399614
3,2487.4234,50.143816,0.26145147,-0.98669676,-0.44136534,25,0,1633.2323,1.0188486,-0.020274164
4,963.24788,166.4243,0.64059346,-0.10766637,-0.071025356,25,0,1286.7773,1.0757763,-0.079304959
5,2594.8829,241.69116,0.62388725,0.46915087,0.15176871,25,0,958.97791,1.0814699,-0.085036106
6,1658.0969,330.85683,0.48173424,0.53640325,-0.92960763,25,0,6375.073,1.0139092,-0.014997696
7,569.44311,372.70131,0.41814446,-0.26754668,-0.14093476,25,0,865.49256,1.0626658,-0.065991781
8,573.6546,427.84149,0.62908582,0.5798736,0.080173295,25,0,3373.2746,1.5497712,-0.47566898
9,1246.9031,451.78494,0.33965642,-0.5872421,0.9577737,25,0,6504.6033,1.0228981,-0.024580981
10,1229.5323,478.21876,0.38011462,-0.77741526,0.20708638,25,0,6760.0766,1.3341181,-0.31298568
11,1227.5263,480.37885,0.35115259,-0.99876377,-0.22193469,25,0,6426.4471,1.070335,-0.073799289
12,1195.2776,536.33602,0.53052054,0.4223561,0.21833578,25,0,1801.1949,1.0184604,-0.019860357
13,2629.4558,591.45799,0.33379432,0.17694091,0.87142914,25,0,1219.3618,1.0092866,-0.010036268
14,2590.968,813.04272,0.74951776,0.18447142,-0.064199806,25,0,1954.896,1.0441164,-0.046872295
15,346.78084,828.09891,0.74715807,0.31278602,0.25854956,25,0,1659.074,1.0320839,-0.034287554
16,1165.8336,844.4182,0.53621383,-0.6053969,-0.90336855,25,0,3653.811,1.1519366,-0.15357141
17,411.86333,946.13677,0.35660976,-0.55807613,-0.94567526,25,0,939.38551,1.0426568,-0.045353441
18,1895.4326,964.89572,0.49439067,-0.84795845,0.84523127,25,0,6545.1247,1.1092791,-0.11260203
19,1886.2726,980.56847,0.31067004,-0.86124179,0.85575565,25,0,6351.9434,1.0500635,-0.053038898
20,991.09272,995.96093,0.29754479,-0.031732963,-0.090722606,25,0,544.96513,1.0332292,-0.035491689
21,1857.8458,1023.8825,0.52892789,-0.82185953,0.2244832,25,0,7081.944,1.113329,-0.11655884
22,1850.3855,1032.6968,0.40194219,-0.75668306,0.48536692,25,0,7136.3496,1.1268216,-0.12963787
23,1840.9439,1044.3892,0.44601904,-0.95585029,0.42339601,25,0,7436.1411,1.239647,-0.2332451
24,1822.28,1062.5404,0.38027426,-0.76205594,0.027783911,25,0,7303.8429,1.1020589,-0.105512
25,1810.629,1073.2382,0.45658703,-0.83470918,0.45369063,25,0,7552.2457,1.0335874,-0.035867989
26,1790.9558,1087.0478,0.28675132,-0.9868738,-0.77360611,25,0,7528.7811,1.1496473,-0.15141156
27,649.00368,1267.4773,0.56956581,0.10534824,0.050086596,25,0,1653.3938,1.0283008,-0.030300464
28,719.02131,1444.0571,0.44810828,0.053250169,0.053255915,25,0,650.78156,1.0369961,-0.039442774
29,918.1236,1588.5354,0.56019976,-0.087567502,-0.26071065,25,0,1001.1469,1.0433624,-0.046087935
30,2368.4718,1589.0973,0.41335822,-0.79358744,-0.38113201,25,0,696.08954,1.0542336,-0.057342182
31,2966.8442,2104.4435,0.5602591,0.1006539,0.20207936,25,0,6524.4335,3.3338154,-1.3073539
32,2284.444,2196.0098,0.6567201,0.15302018,-0.20265159,25,0,3083.4702,1.5615978,-0.48392296
33,1177.4386,2260.0697,0.72530361,-0.13998641,-0.18093337,25,0,4492.4419,2.0809441,-0.79565105
34,2575.9501,2388.5826,0.76842027,0.032179383,0.20599541,25,0,2815.939,1.2691519,-0.25878403
35,3337.0466,2515.9911,0.6478041,-0.22554193,0.19087554,25,0,5642.3613,1.5985242,-0.50929803
