id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
1,2001.2472,1.6127009,0.66535666,-0.30065164,-0.42823118,25,0,23,3.5520561,-1.3761995
2,7650.8834,1.3896579,0.61517971,-0.023893448,-0.78421302,25,0,37,5.2455053,-1.7994683
3,7961.034,1.324483,0.52156942,0.16590218,-0.6348058,25,0,397,59.023003,-4.4275532
4,2521.9845,2.971587,0.47964821,-0.6534788,-0.02279913,25,0,32,4.990499,-1.7453599
5,4786.6377,2.2524659,0.45616747,-0.76090789,-0.43684266,25,0,7,1.3948731,-0.36133678
6,5019.0166,1.599214,0.52474884,-0.2490485,-0.8010667,25,0,6,1.0682181,-0.071649843
7,6500.9959,1.8799894,0.30340526,-0.89936036,-0.47949817,25,0,5,1.2982548,-0.28339988
8,4094.0401,4.7300618,0.49229342,-0.12777595,0.11140272,25,0,10,1.477158,-0.42356734
9,4860.029,5.6594539,0.49050736,-0.63180101,-0.36659709,25,0,16,2.2855773,-0.89748978
10,4911.9681,4.6853541,0.50476898,-0.13590878,-0.22448925,25,0,21,2.9713392,-1.1823806
11,5009.4906,5.4003934,0.4807071,-0.30165231,-0.29452281,25,0,8,1.4497296,-0.40321749
12,1432.9598,5.6423304,0.4713782,-0.83115041,0.23831113,25,0,46,6.3957767,-2.0147332
13,1338.0625,7.275369,0.40240464,-0.99877048,0.42938835,25,0,12,1.9953662,-0.75005654
14,6192.962,7.6777654,0.45312058,-0.053957839,-0.38467884,25,0,17,2.40729,-0.95382102
15,1638.6183,9.3979741,0.45016126,-0.91588366,-0.41022549,25,0,9,1.4807928,-0.42623571
16,2787.7431,8.9873731,0.42069109,-0.92859226,-0.12616258,25,0,223,28.809546,-3.648841
17,6386.9487,8.818995,0.45616747,-0.15701552,-0.21888834,25,0,17,2.1919434,-0.85207334
18,7103.0218,10.265977,0.43856082,0.34767944,-0.43393344,25,0,746,88.399574,-4.8661254
19,8172.9206,9.9863234,0.53926706,0.92155212,-0.2393187,25,0,7,1.0956465,-0.09917614
20,8173.2224,10.867911,0.54232671,0.89713675,-0.16135353,25,0,7,1.1174002,-0.12052183
21,8552.2516,12.010341,0.47403284,0.75548095,0.20076995,25,0,8,1.4062222,-0.37013489
22,8875.3339,12.206342,0.37940779,0.9470188,-0.19828397,25,0,5,1.1180507,-0.12115374
23,2700.9948,13.32384,0.423605,-0.88868874,-0.50321405,25,0,55,5.8653302,-1.9207312
