id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 584.22881 4.6536868 0.66464187 -0.14986295 -0.15939309 25 0 281.32855 1.301125 -0.2857976
2 1206.1524 6.1845224 0.70432147 0.0079060039 -0.18187554 25 0 432.66534 1.86639 -0.67750599
3 77.058069 8.0113743 0.49491947 0.24662609 0.044822848 25 0 295.8154 1.0999501 -0.10343243
4 1701.6362 22.609465 0.56036075 0.036013398 -0.08656607 25 0 273.75821 1.0909874 -0.094549381
5 2634.5988 25.904362 0.4044494 0.29972264 -0.42911209 25 0 81.138947 1.0125456 -0.013536462
6 856.42228 68.950285 0.31097898 0.3739022 0.072145914 25 0 153.02956 1.0494144 -0.052367544
7 808.91968 76.71743 0.45494609 -0.19876797 -0.0012980979 25 0 370.78101 1.775439 -0.6232644
8 3033.9475 82.040482 0.44641193 0.043846186 -0.098678103 25 0 1641.7712 7.3341026 -2.1633675
9 1107.9633 85.284929 0.48395301 0.42265537 -0.0373018 25 0 522.05206 2.2510026 -0.88093997
10 3093.4328 111.49862 0.39865381 0.38347778 0.055965555 25 0 146.83273 1.0050033 -0.0054187552
11 1208.0989 125.98028 0.59502848 0.45556837 0.02560935 25 0 1006.7537 3.9988537 -1.5048388
12 2120.3767 157.48166 0.52196626 0.67382699 0.1782108 25 0 885.85461 3.518832 -1.3659963
13 2701.0496 159.30093 0.5635883 0.69539279 0.12752644 25 0 323.31747 1.5639963 -0.48558931
14 232.85599 173.96911 0.46440761 0.19707358 -0.068145378 25 0 7686.0806 34.737438 -3.8519945
15 3293.8162 181.73255 0.61765097 -0.45718443 0.59665565 25 0 128.82951 1.0818741 -0.085441842
16 2220.5043 190.25252 0.46348408 0.19963618 0.054918859 25 0 2836.4031 11.448784 -2.6468984
17 2077.8259 191.3939 0.66000084 0.2126541 -0.16000274 25 0 370.10254 1.4800073 -0.42565964
18 2334.2397 194.1534 0.49216933 0.52145755 0.13046345 25 0 1484.2401 6.6455812 -2.0563324
19 3060.3521 211.28443 0.33587889 0.33201799 -0.11124116 25 0 894.27753 3.9820478 -1.5002662
20 2005.0467 239.77758 0.50277519 0.42564934 0.061474205 25 0 41298.047 179.55101 -5.6354696
21 1259.6084 263.59711 0.48810041 -0.58956462 -0.086858364 25 0 319.3717 2.0348067 -0.77130791
22 2302.2326 275.56344 0.50415443 0.38783836 0.15715231 25 0 769.05457 3.3423264 -1.3101221
23 2888.7505 294.56543 0.56572925 0.095268667 0.11432028 25 0 587.2359 2.5579135 -1.0197147
24 1128.5771 336.9066 0.44684989 0.18275601 -0.11769997 25 0 577.13934 2.4566977 -0.9758793
25 2371.0851 344.12316 0.58679384 0.090079866 0.089368271 25 0 343.18301 1.4838396 -0.42846742
26 1700.3162 356.33762 0.77806689 0.53749651 -0.087174662 25 0 319.14719 1.0439501 -0.046699331
27 3231.225 357.82395 0.41060941 0.27671516 0.026853598 25 0 1038.0258 4.6010146 -1.657134
28 2983.2674 384.29985 0.41304821 0.65000272 0.029378287 25 0 473.65347 2.1433518 -0.82773365
29 684.23467 388.93946 0.51372213 0.1378472 -0.19058815 25 0 1262.9982 5.5382299 -1.8584275
30 2751.4536 405.89977 0.43347812 0.33872259 -0.15412732 25 0 864.0177 3.6762197 -1.4135036
31 1146.7594 423.51477 0.53899275 0.31783044 0.14035203 25 0 955.75378 3.9060538 -1.4793455
32 628.49078 446.70131 0.35805189 0.00093443244 0.49255683 25 0 69.861801 1.0287355 -0.030759337
33 1047.8644 457.49457 0.50806412 0.5358116 0.2081222 25 0 1369.5371 5.7423263 -1.8977197
34 558.43043 460.64031 0.5007963 -0.19525543 -0.12059039 25 0 12580.403 48.951786 -4.2244214
